epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.863,1.86718,34.451,1.26047,3e-05,0.01082,2e-05,0,2.71429,42.88,1.90732,0.000369557,0.000369557,0.000369557
2,502.634,2.1323,20.0827,1.50953,0.00144,0.06275,0.00132,0.00053,2.87908,29.2466,2.03937,0.000715474,0.000715474,0.000715474
3,749.294,2.28133,9.50494,1.57901,0,0,0,0,3.03168,231.137,2.06017,0.00103695,0.00103695,0.00103695
4,984.914,2.24724,5.52202,1.58982,0.00125,0.0902,0.00147,0.00047,2.83379,6.30813,2.00966,0.00100101,0.00100101,0.00100101
5,1222.32,2.08264,4.20176,1.38464,0.00748,0.11886,0.01926,0.00609,2.67248,5.18331,1.88147,0.000964348,0.000964348,0.000964348
6,1467.79,2.20755,3.94954,1.5036,0.00364,0.14726,0.01687,0.00483,2.58666,4.75599,1.87089,0.000927685,0.000927685,0.000927685
7,1754.3,2.1452,3.70511,1.47434,0.01277,0.3115,0.05872,0.01802,2.57445,4.28379,1.85196,0.000891022,0.000891022,0.000891022
8,2025.41,1.96586,3.25574,1.35421,0.67866,0.04706,0.06352,0.0221,2.42942,4.23629,1.78963,0.000854359,0.000854359,0.000854359
9,2298.41,1.89376,3.06342,1.34836,0.70217,0.07262,0.0703,0.02084,2.60216,3.87332,1.89715,0.000817696,0.000817696,0.000817696
10,2713.21,2.05683,3.08772,1.45595,0.53908,0.10246,0.06291,0.02159,2.40321,3.85703,1.83894,0.000781033,0.000781033,0.000781033
11,3188.58,1.90847,2.96051,1.34205,0.58366,0.08059,0.08587,0.0341,2.45012,4.39161,1.76939,0.00074437,0.00074437,0.00074437
12,3495.13,1.93549,2.80363,1.32289,0.02144,0.3259,0.06692,0.02639,2.42189,3.83461,1.80946,0.000707707,0.000707707,0.000707707
13,3819.56,1.88316,2.68071,1.31569,0.57669,0.11413,0.10231,0.03132,2.43827,3.26824,1.78415,0.000671044,0.000671044,0.000671044
14,4092.93,1.83752,2.61843,1.3309,0.66576,0.25558,0.19379,0.09294,2.2303,3.01649,1.69016,0.000634381,0.000634381,0.000634381
15,4385.79,1.8818,2.63849,1.32543,0.6031,0.21907,0.17051,0.06677,2.33373,3.23959,1.7829,0.000597718,0.000597718,0.000597718
16,4694.17,1.88552,2.59138,1.34523,0.62678,0.18188,0.17435,0.07561,2.26825,2.93732,1.75064,0.000561055,0.000561055,0.000561055
17,5005.58,1.80741,2.41727,1.28649,0.65517,0.22001,0.20907,0.09381,2.17081,3.05279,1.6715,0.000524392,0.000524392,0.000524392
18,5336.01,1.71797,2.22954,1.23898,0.696,0.23133,0.23388,0.10996,2.11042,2.68038,1.66149,0.000487729,0.000487729,0.000487729
19,5647.42,1.85041,2.39988,1.32168,0.85071,0.16503,0.22887,0.10007,2.12706,2.72186,1.60139,0.000451066,0.000451066,0.000451066
20,5921.86,1.65342,2.19749,1.16665,0.66788,0.2741,0.22627,0.09637,2.19185,3.29003,1.60119,0.000414403,0.000414403,0.000414403
21,6180.76,1.32687,1.6889,0.99511,0.62644,0.30105,0.21979,0.08856,2.14269,2.93123,1.62559,0.00037774,0.00037774,0.00037774
22,6457.7,1.30037,1.64834,0.9797,0.63671,0.29074,0.24345,0.11554,2.04726,2.84148,1.56864,0.000341077,0.000341077,0.000341077
23,6740.51,1.26511,1.58465,0.94648,0.68717,0.30074,0.27107,0.12676,2.04707,2.67912,1.55409,0.000304414,0.000304414,0.000304414
24,7012.77,1.27815,1.5805,0.95442,0.70316,0.25842,0.26149,0.11969,2.11535,2.62155,1.5793,0.000267751,0.000267751,0.000267751
25,7275,1.24698,1.54447,0.90912,0.71318,0.26734,0.25906,0.12155,2.12302,2.58841,1.61842,0.000231088,0.000231088,0.000231088
26,7538.8,1.2374,1.56131,0.94498,0.83271,0.2741,0.32065,0.16263,2.06563,2.34681,1.58565,0.000194425,0.000194425,0.000194425
27,7797.26,1.26865,1.4882,0.95579,0.70377,0.32756,0.34426,0.1789,1.97524,2.30932,1.5577,0.000157762,0.000157762,0.000157762
28,8056.62,1.28866,1.5088,0.95591,0.78929,0.26829,0.34758,0.16597,1.93632,2.6463,1.50321,0.000121099,0.000121099,0.000121099
29,8311.76,1.24856,1.44183,0.92832,0.72471,0.32522,0.33427,0.15586,1.9612,2.53916,1.51466,8.4436e-05,8.4436e-05,8.4436e-05
30,8550.9,1.12971,1.31852,0.85415,0.75294,0.28357,0.3362,0.16163,1.93797,2.41953,1.52144,4.7773e-05,4.7773e-05,4.7773e-05
