epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,725.019,2.48835,43.1609,1.46647,0.00041,0.20054,0.03526,0.01187,2.79886,20.5626,2.01687,0.000369816,0.000369816,0.000369816
2,1476.8,2.59863,12.2127,1.66852,0.00599,0.03137,0.00442,0.00191,3.83322,8.84324,2.41739,0.000715725,0.000715725,0.000715725
3,2297.08,2.62608,5.14631,1.72288,0.05312,0.13658,0.05284,0.02292,3.11319,5.33583,2.32305,0.00103719,0.00103719,0.00103719
4,3019.1,2.56308,4.00721,1.66127,0.73542,0.06694,0.06794,0.02551,2.97441,4.54397,2.134,0.00100101,0.00100101,0.00100101
5,3735.9,2.49735,3.60294,1.60518,0.54519,0.11995,0.15288,0.06282,2.77717,4.06597,2.11335,0.000964348,0.000964348,0.000964348
6,4536.21,2.39764,3.2646,1.50814,0.77161,0.10071,0.11949,0.04573,2.54724,3.59883,2.02994,0.000927685,0.000927685,0.000927685
7,5294.41,2.39526,3.09979,1.53832,0.85799,0.07398,0.17255,0.06676,2.62185,3.57647,1.98233,0.000891022,0.000891022,0.000891022
8,6104.09,2.28839,3.01897,1.48104,0.79366,0.2092,0.25104,0.10729,2.41335,3.04836,1.87278,0.000854359,0.000854359,0.000854359
9,6962.46,2.28638,2.86802,1.48709,0.79512,0.2401,0.27113,0.10475,2.53511,3.14238,1.96609,0.000817696,0.000817696,0.000817696
10,7867.61,2.28831,2.66999,1.53063,0.77345,0.21738,0.26878,0.11169,2.42553,2.73202,1.86493,0.000781033,0.000781033,0.000781033
11,1537.61,2.24117,2.55219,1.4576,0.70167,0.26045,0.3197,0.13318,2.39724,2.70792,1.85332,0.00074437,0.00074437,0.00074437
11,9668.85,2.20913,2.59914,1.50781,0.69047,0.18648,0.21354,0.09827,2.44319,2.85338,1.91068,0.00074437,0.00074437,0.00074437
12,2912.67,2.18967,2.49607,1.45287,0.64926,0.26744,0.22419,0.09622,2.45395,2.58062,1.9368,0.000707707,0.000707707,0.000707707
12,11217,2.26269,2.58796,1.46094,0.72844,0.19515,0.23783,0.10095,2.31279,2.65321,1.86108,0.000707707,0.000707707,0.000707707
13,4226.53,2.2238,2.47654,1.43538,0.77885,0.22417,0.32725,0.1614,2.35351,2.56901,1.8431,0.000671044,0.000671044,0.000671044
13,12634.1,2.2003,2.40851,1.48064,0.69287,0.20911,0.3545,0.15748,2.23379,2.59829,1.86332,0.000671044,0.000671044,0.000671044
14,5391.53,2.14199,2.37519,1.38643,0.40817,0.16281,0.20092,0.07975,2.45128,3.23278,1.92006,0.000634381,0.000634381,0.000634381
14,13928.4,2.21151,2.46319,1.43557,0.75955,0.26744,0.37827,0.17936,2.29785,2.38636,1.87058,0.000634381,0.000634381,0.000634381
15,6575.77,2.13803,2.32359,1.35557,0.85503,0.29824,0.41876,0.18153,2.19595,2.35423,1.79159,0.000597718,0.000597718,0.000597718
15,15153.1,2.10839,2.31037,1.33077,0.917,0.24462,0.34765,0.16173,2.24215,2.3844,1.84687,0.000597718,0.000597718,0.000597718
16,7792.91,2.10533,2.25057,1.31147,0.65349,0.26617,0.35236,0.16393,2.15936,2.49877,1.79799,0.000561055,0.000561055,0.000561055
16,16401.7,2.1347,2.26824,1.36303,0.88016,0.26815,0.36195,0.15578,2.29868,2.33586,1.79298,0.000561055,0.000561055,0.000561055
17,8986.12,2.11961,2.24656,1.35312,0.85292,0.29054,0.40347,0.17245,2.28136,2.36454,1.83719,0.000524392,0.000524392,0.000524392
17,17664.1,2.08029,2.2938,1.36081,0.90476,0.2993,0.40504,0.16795,2.21078,2.10683,1.7808,0.000524392,0.000524392,0.000524392
18,10170,2.00969,2.18748,1.31371,0.79542,0.28871,0.44678,0.20002,2.32469,2.1993,1.86962,0.000487729,0.000487729,0.000487729
18,18906.1,2.11521,2.20855,1.37319,0.86011,0.30206,0.42006,0.19739,2.18496,2.21479,1.80565,0.000487729,0.000487729,0.000487729
19,11387.2,2.09123,2.16186,1.34696,0.82895,0.35085,0.40817,0.19654,2.25623,2.05025,1.80474,0.000451066,0.000451066,0.000451066
19,20179.8,2.09142,2.14822,1.35316,0.8461,0.30156,0.46643,0.23556,2.07922,2.04775,1.77324,0.000451066,0.000451066,0.000451066
20,12566.8,2.01047,2.03673,1.36379,0.8527,0.32914,0.40723,0.1911,2.2024,2.00247,1.75029,0.000414403,0.000414403,0.000414403
20,21396.4,2.03552,2.1646,1.31482,0.87326,0.28462,0.49787,0.24225,2.11691,1.97943,1.81684,0.000414403,0.000414403,0.000414403
21,13695.7,1.73335,1.71582,1.13894,0.87729,0.30976,0.46822,0.22733,2.04784,2.02113,1.67004,0.00037774,0.00037774,0.00037774
21,22529.9,1.77039,1.72609,1.16415,0.61588,0.56475,0.57234,0.29374,2.15195,1.94975,1.73409,0.00037774,0.00037774,0.00037774
22,14842.2,1.71029,1.70277,1.12495,0.72235,0.49094,0.55169,0.28269,2.12284,1.95335,1.67555,0.000341077,0.000341077,0.000341077
22,23660.1,1.77141,1.70095,1.1349,0.76169,0.4974,0.54319,0.27825,2.10656,1.84831,1.69017,0.000341077,0.000341077,0.000341077
23,15951.1,1.70411,1.67394,1.12875,0.73228,0.47754,0.54514,0.28994,2.05644,1.86518,1.66722,0.000304414,0.000304414,0.000304414
23,24792,1.72984,1.6985,1.11222,0.82689,0.42995,0.54174,0.2859,2.04573,1.93322,1.63486,0.000304414,0.000304414,0.000304414
