epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.072,2.50572,18.2874,1.55441,0.01549,0.1689,0.05752,0.02669,3.24509,5.08852,2.50883,0.000369816,0.000369816,0.000369816
2,552.238,2.61475,3.83999,1.72646,0.47992,0.07586,0.11494,0.03791,2.91586,4.38418,2.35643,0.000715725,0.000715725,0.000715725
3,816.434,2.68311,3.67234,1.80256,0.33152,0.03638,0.08475,0.02682,3.0914,3.89244,2.34692,0.00103719,0.00103719,0.00103719
4,1077.66,2.76956,3.54213,1.82753,0.10767,0.0226,0.02277,0.00906,3.32767,4.61087,2.5007,0.00100101,0.00100101,0.00100101
5,1339.74,2.57097,3.17242,1.7172,0.67033,0.19711,0.16899,0.0675,2.95244,3.68228,2.30484,0.000964348,0.000964348,0.000964348
6,1600.95,2.55954,3.13573,1.66672,0.49957,0.19148,0.20274,0.07605,2.872,3.50347,2.38065,0.000927685,0.000927685,0.000927685
7,1862.47,2.53439,3.07185,1.66495,0.65851,0.09412,0.20016,0.09257,2.82946,3.4091,2.27312,0.000891022,0.000891022,0.000891022
8,2124.43,2.42782,2.79985,1.57122,0.79312,0.16465,0.20656,0.09192,2.5897,3.01759,2.1646,0.000854359,0.000854359,0.000854359
9,2385.95,2.40181,2.73192,1.62129,0.81012,0.2092,0.28185,0.12702,2.47023,2.82744,2.07091,0.000817696,0.000817696,0.000817696
10,2644.71,2.33615,2.59593,1.52499,0.72976,0.23867,0.30039,0.12678,2.49077,2.76852,2.06992,0.000781033,0.000781033,0.000781033
11,2903.96,2.31255,2.6102,1.50722,0.83252,0.19933,0.25521,0.1121,2.42238,2.70469,2.13939,0.00074437,0.00074437,0.00074437
12,3162.35,2.29766,2.52186,1.54458,0.86795,0.18039,0.23336,0.10232,2.39119,2.86815,2.07842,0.000707707,0.000707707,0.000707707
13,3421.4,2.1847,2.32721,1.45088,0.87161,0.25117,0.32073,0.15384,2.2422,2.53328,1.98351,0.000671044,0.000671044,0.000671044
14,3679.12,2.25858,2.38669,1.51177,0.78167,0.29438,0.32915,0.13141,2.38713,2.49768,2.03886,0.000634381,0.000634381,0.000634381
15,3935.12,2.12439,2.21719,1.40101,0.69565,0.26624,0.32338,0.14202,2.31384,2.51965,2.04413,0.000597718,0.000597718,0.000597718
16,4190.52,2.16024,2.28951,1.40506,0.85186,0.25206,0.30998,0.13163,2.37537,2.61628,2.00932,0.000561055,0.000561055,0.000561055
17,4444.7,2.18561,2.2363,1.40579,0.87304,0.32876,0.40231,0.18819,2.26938,2.1516,2.05137,0.000524392,0.000524392,0.000524392
18,4703.28,2.1611,2.14365,1.4108,0.82317,0.33871,0.36786,0.17125,2.24278,2.12074,1.94844,0.000487729,0.000487729,0.000487729
19,4959.57,2.04311,2.03317,1.32058,0.85703,0.34517,0.44865,0.22723,2.06209,1.99205,1.87978,0.000451066,0.000451066,0.000451066
20,5214.16,2.07374,2.0725,1.39386,0.85103,0.33408,0.39748,0.21055,2.11026,2.11979,1.90282,0.000414403,0.000414403,0.000414403
21,5462.81,1.77638,1.72034,1.19135,0.90722,0.34366,0.4792,0.23188,2.1181,1.95954,1.89673,0.00037774,0.00037774,0.00037774
22,5707.79,1.75291,1.68729,1.17441,0.71365,0.50196,0.53551,0.26531,2.12832,1.89456,1.89476,0.000341077,0.000341077,0.000341077
23,5951.67,1.71476,1.60024,1.18753,0.89346,0.36644,0.52777,0.24203,2.23751,1.92191,1.92113,0.000304414,0.000304414,0.000304414
24,6196.49,1.72198,1.53802,1.18024,0.91156,0.44279,0.54239,0.29247,2.07917,1.79951,1.87315,0.000267751,0.000267751,0.000267751
25,6443.4,1.65623,1.51468,1.14699,0.84275,0.48551,0.55923,0.29839,2.07444,1.73396,1.83771,0.000231088,0.000231088,0.000231088
26,6690.98,1.6849,1.50123,1.15275,0.86563,0.47398,0.54914,0.27632,2.00114,1.76502,1.82126,0.000194425,0.000194425,0.000194425
27,6938.6,1.6182,1.43043,1.13359,0.92362,0.46252,0.55052,0.29351,1.98113,1.75173,1.82474,0.000157762,0.000157762,0.000157762
28,7184.81,1.63527,1.41449,1.12249,0.87216,0.48702,0.57539,0.30906,1.98376,1.68452,1.81163,0.000121099,0.000121099,0.000121099
29,7429.77,1.60516,1.3496,1.11592,0.86174,0.51055,0.55253,0.31404,1.96167,1.66536,1.78392,8.4436e-05,8.4436e-05,8.4436e-05
30,7673.96,1.57836,1.34082,1.14338,0.82212,0.51535,0.5567,0.30574,1.9408,1.68128,1.79103,4.7773e-05,4.7773e-05,4.7773e-05
