epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.269,2.61227,17.8381,1.69497,0,0,0,0,3.85029,6.30088,2.89926,0.000369816,0.000369816,0.000369816
2,803.67,2.88475,4.41235,1.8807,0,0,0,0,3.54852,5.9572,2.59552,0.000715725,0.000715725,0.000715725
3,1194.03,2.88338,4.20478,1.90137,0,0,0,0,3.68583,4.67878,2.76475,0.00103719,0.00103719,0.00103719
4,1585.9,2.94312,4.36519,1.91721,0.03744,0.03137,0.01668,0.00292,3.51395,5.21925,2.56299,0.00100101,0.00100101,0.00100101
5,1977.41,2.79395,3.95877,1.84215,0.00518,0.09912,0.02774,0.00603,3.31574,4.76508,2.51798,0.000964348,0.000964348,0.000964348
6,2366.38,2.74106,3.81128,1.79183,0.58437,0.01176,0.04529,0.01479,3.05511,4.00638,2.40346,0.000927685,0.000927685,0.000927685
7,2754.29,2.72691,3.77571,1.78293,0.00705,0.21501,0.03138,0.01027,3.10023,4.36287,2.42273,0.000891022,0.000891022,0.000891022
8,3140.01,2.62751,3.5345,1.69507,0.4483,0.0083,0.03847,0.01596,2.94411,4.15477,2.2118,0.000854359,0.000854359,0.000854359
9,3532.67,2.63201,3.47161,1.746,0.02895,0.30811,0.05431,0.02131,2.88195,4.26721,2.323,0.000817696,0.000817696,0.000817696
10,3930.59,2.47163,3.24792,1.61096,0.57354,0.05472,0.11411,0.03214,2.81112,3.74284,2.23002,0.000781033,0.000781033,0.000781033
11,4327.03,2.53335,3.20709,1.65571,0.01785,0.40167,0.04238,0.01532,2.80154,4.28737,2.19089,0.00074437,0.00074437,0.00074437
12,4726.76,2.43235,3.12598,1.63444,0.58201,0.15335,0.13864,0.05023,2.58235,3.09288,2.08222,0.000707707,0.000707707,0.000707707
13,5128.13,2.36668,2.98075,1.56899,0.58436,0.11708,0.1274,0.04422,2.65083,3.496,2.10813,0.000671044,0.000671044,0.000671044
14,5522.31,2.49308,3.00914,1.64953,0.59669,0.17972,0.18881,0.06788,2.57949,2.89999,2.09958,0.000634381,0.000634381,0.000634381
15,5912.42,2.30491,2.75881,1.52096,0.70214,0.24825,0.23541,0.10276,2.51641,2.94062,2.0693,0.000597718,0.000597718,0.000597718
16,6318.63,2.3566,2.84196,1.52723,0.70558,0.23283,0.24161,0.09103,2.5382,2.72684,2.08925,0.000561055,0.000561055,0.000561055
17,6709.48,2.36146,2.70192,1.51934,0.74066,0.22141,0.24942,0.09873,2.53071,2.66955,2.03312,0.000524392,0.000524392,0.000524392
18,7105.84,2.36064,2.64137,1.53502,0.61339,0.23773,0.22215,0.09885,2.40588,2.56738,2.00408,0.000487729,0.000487729,0.000487729
19,7495.63,2.27339,2.50854,1.44924,0.79339,0.22925,0.3043,0.138,2.39792,2.53377,1.99915,0.000451066,0.000451066,0.000451066
20,7907.3,2.29861,2.57331,1.52756,0.73956,0.24368,0.28368,0.13523,2.47281,2.55384,2.11201,0.000414403,0.000414403,0.000414403
21,8298.29,1.90617,2.10764,1.28165,0.70757,0.29108,0.30194,0.14927,2.31568,2.41721,1.99914,0.00037774,0.00037774,0.00037774
22,8684.01,1.84911,2.03208,1.24001,0.81942,0.2709,0.31601,0.14904,2.40668,2.29546,2.00157,0.000341077,0.000341077,0.000341077
23,9072.81,1.88095,1.98743,1.27981,0.75241,0.30366,0.37868,0.17119,2.41257,2.13727,2.03902,0.000304414,0.000304414,0.000304414
24,9474.02,1.8858,1.92331,1.2801,0.81346,0.25156,0.3501,0.19023,2.40317,2.17437,2.06269,0.000267751,0.000267751,0.000267751
25,9869.03,1.79798,1.86085,1.23981,0.81547,0.276,0.35623,0.16937,2.3177,2.10378,1.99944,0.000231088,0.000231088,0.000231088
26,10258.5,1.84339,1.86825,1.25482,0.91902,0.29097,0.38404,0.19132,2.3358,2.01197,2.01968,0.000194425,0.000194425,0.000194425
27,10644.4,1.76745,1.80372,1.22397,0.80833,0.31211,0.37107,0.18982,2.3427,2.10031,2.00997,0.000157762,0.000157762,0.000157762
28,11033.8,1.80026,1.76284,1.1927,0.82899,0.34101,0.39961,0.20324,2.26822,2.00813,1.97601,0.000121099,0.000121099,0.000121099
29,11442.3,1.76802,1.7181,1.19942,0.85488,0.34114,0.42494,0.21618,2.28711,1.9918,1.97074,8.4436e-05,8.4436e-05,8.4436e-05
30,11844.9,1.7571,1.6952,1.23598,0.82866,0.33804,0.41613,0.22614,2.26889,1.97956,1.93822,4.7773e-05,4.7773e-05,4.7773e-05
