year,month,n_records,V_mean,TI_med,DEL_est_kNm
2016,6,2648,6.577,0.116,904.5
2016,7,3938,7.177,0.1179,1075.7
2016,8,3563,7.636,0.1204,1217.0
2016,9,3700,8.151,0.1089,1249.6
2016,10,3334,6.581,0.1181,917.5
2016,11,3436,8.703,0.1118,1347.3
2016,12,4077,8.841,0.1122,1369.8
2017,1,4000,8.682,0.119,1404.2
2017,2,3792,9.628,0.1239,1589.8
2017,3,3701,8.333,0.1236,1403.8
2017,4,3892,8.589,0.1229,1431.4
2017,5,3863,7.047,0.1127,1008.6
2017,6,3796,8.453,0.1201,1380.1
2017,7,3884,7.321,0.1187,1119.1
2017,8,3828,7.139,0.1143,1042.8
2017,9,3931,7.393,0.101,1021.0
2017,10,4187,9.443,0.1252,1576.3
2017,11,4088,8.932,0.1184,1436.1
2017,12,4141,8.751,0.1257,1485.5
2018,1,4098,9.598,0.1191,1540.0
2018,2,3658,8.395,0.1186,1358.7
2018,3,3947,8.658,0.1416,1649.6
2018,4,3694,7.684,0.1335,1373.0
2018,5,3278,7.076,0.1247,1098.5
2018,6,2686,7.205,0.1331,1207.6
2018,7,3030,6.336,0.1297,900.7
2018,8,3789,6.625,0.1323,1007.3
2018,9,4125,8.853,0.1319,1567.5
2018,10,4102,9.273,0.1298,1598.7
2018,11,4114,9.041,0.1261,1529.9
2018,12,4100,8.297,0.1149,1315.6
2019,1,3696,8.822,0.131,1552.8
2019,2,3759,8.837,0.1218,1454.9
2019,3,4089,9.939,0.1416,1789.7
2019,4,3703,6.85,0.1301,1068.2
2019,5,3213,6.846,0.1313,1074.7
2019,6,3838,7.403,0.1284,1230.0
2019,7,3317,6.768,0.1327,1057.6
2019,8,3752,7.581,0.1292,1293.3
2019,9,3711,7.647,0.129,1312.4
2019,10,3974,8.185,0.1275,1430.3
2019,11,3656,7.904,0.1233,1325.0
2019,12,4099,9.574,0.1284,1623.9
2020,1,4293,10.533,0.1449,1977.3
2020,2,3995,12.052,0.1454,2386.6
2020,3,3869,9.548,0.1338,1671.8
2020,4,3706,6.677,0.1355,1043.2
2020,5,3830,7.512,0.1343,1322.7
2020,6,2868,8.24,0.1281,1444.5
2020,7,3778,7.219,0.1349,1227.2
2020,8,3399,7.261,0.1321,1217.3
2020,9,3019,7.956,0.136,1496.5
2020,10,2862,8.252,0.1183,1335.7
2020,11,3592,9.021,0.1283,1550.5
2020,12,3840,8.727,0.1186,1407.2
2021,1,3914,7.759,0.1224,1272.8
2021,2,3667,10.003,0.1385,1767.6
2021,3,3733,8.822,0.1416,1668.4
2021,4,3335,6.912,0.1306,1091.3
2021,5,3229,6.951,0.1279,1084.8
2021,6,3424,7.028,0.1343,1156.6
