year,month,n_records,V_mean,TI_direct_med,TI_direct_std,DEL_est_kNm,DEL_pointinterp_kNm
2016,6,1937,6.945,0.1066,0.0366,938.6,944.4
2016,7,3874,7.211,0.1174,0.0359,1075.6,1081.4
2016,8,3452,7.693,0.1198,0.0398,1183.4,1227.1
2016,9,3498,8.241,0.1072,0.0336,1219.7,1248.1
2016,10,3285,6.608,0.1182,0.0374,937.8,925.0
2016,11,2481,7.603,0.1106,0.0364,1102.1,1139.2
2016,12,4066,8.846,0.1122,0.0372,1360.8,1370.4
2017,1,3958,8.675,0.1189,0.0329,1355.2,1402.1
2017,2,3717,9.706,0.1234,0.0355,1570.7,1596.3
2017,3,3657,8.386,0.1236,0.0406,1343.7,1410.4
2017,4,3762,8.648,0.122,0.0343,1391.1,1430.5
2017,5,3805,7.089,0.1126,0.0354,987.1,1018.7
2017,6,3756,8.5,0.1198,0.0357,1326.2,1383.9
2017,7,3799,7.373,0.1184,0.035,1106.8,1131.3
2017,8,3796,7.168,0.1142,0.0349,1025.6,1049.3
2017,9,3913,7.411,0.101,0.0312,1027.6,1025.2
2017,10,4080,9.459,0.1247,0.0345,1550.8,1573.3
2017,11,3993,8.954,0.1185,0.0309,1427.7,1440.0
2017,12,4120,8.753,0.1257,0.0334,1425.0,1485.8
2018,1,4091,9.606,0.1191,0.0338,1564.9,1541.3
2018,2,3385,8.271,0.1157,0.0332,1283.8,1318.3
2018,3,3346,8.395,0.1347,0.0392,1415.9,1542.4
2018,4,3666,7.691,0.1333,0.0384,1236.0,1373.8
2018,5,3218,7.137,0.1244,0.0346,1074.9,1113.8
2018,6,2599,7.137,0.1321,0.0404,1098.9,1176.5
2018,7,2965,6.394,0.1294,0.0423,932.7,918.3
2018,8,3752,6.653,0.1321,0.0396,1035.6,1015.9
2018,9,4093,8.808,0.1317,0.0399,1519.5,1559.6
2018,10,4048,9.288,0.1295,0.0401,1558.1,1597.6
2018,11,4104,9.051,0.1261,0.0368,1473.7,1530.6
2018,12,4002,8.263,0.1148,0.0415,1268.4,1309.9
2019,1,3542,8.906,0.1316,0.0368,1485.7,1570.7
2019,2,3743,8.837,0.1216,0.0408,1427.6,1453.1
2019,3,3747,9.918,0.1393,0.0353,1742.0,1764.8
2019,4,3580,6.921,0.1306,0.037,1067.9,1094.1
2019,5,3161,6.898,0.131,0.0401,1075.0,1089.8
2019,6,3812,7.426,0.1283,0.0387,1161.2,1235.9
2019,7,3281,6.802,0.1327,0.041,1056.1,1068.6
2019,8,3705,7.627,0.1288,0.0384,1220.3,1303.6
2019,9,3673,7.682,0.1289,0.0356,1243.2,1322.3
2019,10,3868,8.237,0.127,0.0386,1347.3,1430.7
2019,11,3002,7.824,0.1175,0.0398,1201.6,1245.4
2019,12,4070,9.58,0.1283,0.0392,1613.7,1624.1
2020,1,4184,10.301,0.144,0.0402,1849.2,1904.5
2020,2,3916,11.918,0.1449,0.0398,2155.8,2355.5
2020,3,3834,9.585,0.1337,0.0382,1632.4,1675.7
2020,4,3617,6.722,0.135,0.04,1040.8,1056.1
2020,5,3795,7.502,0.1341,0.0421,1201.4,1317.5
2020,6,2795,8.288,0.128,0.0381,1335.3,1450.0
2020,7,3730,7.247,0.1346,0.0385,1175.8,1234.5
2020,8,3269,7.344,0.1315,0.0371,1128.9,1240.0
2020,9,2957,7.966,0.1357,0.0403,1347.7,1496.0
2020,10,2752,8.261,0.1174,0.0361,1286.0,1329.5
2020,11,3557,9.06,0.1283,0.037,1522.5,1555.7
2020,12,3690,8.813,0.1187,0.0363,1386.5,1421.1
2021,1,3743,7.661,0.1215,0.0406,1182.5,1235.4
2021,2,3643,10.015,0.1385,0.04,1768.9,1770.8
2021,3,3572,8.728,0.141,0.038,1507.8,1651.5
2021,4,3300,6.946,0.1305,0.0461,1057.1,1101.4
2021,5,3182,6.999,0.1278,0.0378,1041.6,1099.2
2021,6,3389,7.062,0.1341,0.0394,1099.6,1166.5
