turbine_id,month,n_records,V_mean,TI_direct_med,TI_direct_std,V_clipped,TI_clipped,DEL_est_kNm,avail_approx,fatigue_risk_score
T01,1,4184,10.301,0.144,0.0402,10.301,0.144,1904.5,23.244,0.7652957784004004
T01,2,3916,11.918,0.1449,0.0398,11.918,0.1449,2355.5,21.756,0.9999999898713212
T01,3,3834,9.585,0.1337,0.0382,9.585,0.1337,1675.7,21.3,0.5624630341730414
T01,4,3617,6.722,0.135,0.04,6.722,0.135,1056.1,20.094,0.17580799360698213
T01,5,3795,7.502,0.1341,0.0421,7.502,0.1341,1317.5,21.083,0.27569656498159745
T01,6,2795,8.288,0.128,0.0381,8.288,0.128,1450.0,15.528,0.3244793943859858
T01,7,3730,7.247,0.1346,0.0385,7.247,0.1346,1234.5,20.722,0.24509613335606178
T01,8,3269,7.344,0.1315,0.0371,7.344,0.1315,1240.0,18.161,0.22767000269980836
T01,9,2957,7.966,0.1357,0.0403,7.966,0.1357,1496.0,16.428,0.35644800899568907
T01,10,2752,8.261,0.1174,0.0361,8.261,0.1174,1329.5,15.289,0.21482615469306643
T01,11,3557,9.06,0.1283,0.037,9.06,0.1283,1555.7,19.761,0.43523816925802405
T01,12,3690,8.813,0.1187,0.0363,8.813,0.1187,1421.1,20.5,0.3048646282769895
T02,1,4126,10.077,0.1469,0.0428,10.077,0.1469,1873.0,22.922,0.7559503410573276
T02,2,3613,11.52,0.149,0.0422,11.52,0.149,2273.8,20.072,0.9999999894012073
T02,3,3772,9.45,0.1362,0.0388,9.45,0.1362,1683.1,20.956,0.5476785757332272
T02,4,3239,6.808,0.137,0.0411,6.808,0.137,1098.7,17.994,0.1493615912790271
T02,5,3717,7.427,0.1392,0.0446,7.427,0.1392,1340.7,20.65,0.2676205819897312
T02,6,2736,8.217,0.1334,0.0398,8.217,0.1334,1505.4,15.2,0.32864201147852057
T02,7,3690,7.069,0.1427,0.043,7.069,0.1427,1242.5,20.5,0.24907205456031029
T02,8,3006,7.505,0.1332,0.0372,7.505,0.1332,1309.6,16.7,0.21695762223792475
T02,9,2396,8.145,0.14,0.0404,8.145,0.14,1577.3,13.311,0.38649544801999786
T02,10,2779,8.052,0.125,0.0368,8.052,0.125,1381.2,15.439,0.21550731859895514
T02,11,3356,8.806,0.1333,0.0386,8.806,0.1333,1576.8,18.644,0.41826002480697877
T02,12,3812,8.72,0.1227,0.0391,8.72,0.1227,1448.4,21.178,0.2943067911090182
T04,1,4152,9.956,0.1493,0.0421,9.956,0.1493,1873.1,23.067,0.7458965690071322
T04,2,3865,11.733,0.1495,0.0386,11.733,0.1495,2332.5,21.472,0.9999999907013685
T04,3,3805,9.388,0.135,0.0402,9.388,0.135,1664.8,21.139,0.5343200294455304
T04,4,3541,6.624,0.1388,0.0407,6.624,0.1388,1042.5,19.672,0.1767236607758781
T04,5,3722,7.462,0.1345,0.0418,7.462,0.1345,1307.8,20.678,0.25631679907816196
T04,6,2739,8.168,0.1301,0.0415,8.168,0.1301,1459.5,15.217,0.3162548696910108
T04,7,3687,7.032,0.1404,0.0415,7.032,0.1404,1205.0,20.483,0.24929611202799584
