turbine_id,month,n_records,V_mean,TI_direct_med,TI_direct_std,DEL_est_kNm,DEL_pointinterp_kNm,fatigue_risk_score
T01,1,4184,10.301,0.144,0.0402,1849.2,1904.5,0.7653793204852062
T01,2,3916,11.918,0.1449,0.0398,2155.8,2355.5,0.99999998986047
T01,3,3834,9.585,0.1337,0.0382,1632.4,1675.7,0.5624755521174785
T01,4,3617,6.722,0.135,0.04,1040.8,1056.1,0.17599999360000032
T01,5,3795,7.502,0.1341,0.0421,1201.4,1317.5,0.27583371215113084
T01,6,2795,8.288,0.128,0.0381,1335.3,1450.0,0.3245046150410466
T01,7,3730,7.247,0.1346,0.0385,1175.8,1234.5,0.24525345793458989
T01,8,3269,7.344,0.1315,0.0371,1128.9,1240.0,0.2277879086358553
T01,9,2957,7.966,0.1357,0.0403,1347.7,1496.0,0.35657582087171025
T01,10,2752,8.261,0.1174,0.0361,1286.0,1329.5,0.21473729788015053
T01,11,3557,9.06,0.1283,0.037,1522.5,1555.7,0.43522208989197925
T01,12,3690,8.813,0.1187,0.0363,1386.5,1421.1,0.3047580826119999
T02,1,4126,10.077,0.1469,0.0428,1820.4,1873.0,0.7560182584908905
T02,2,3613,11.52,0.149,0.0422,2146.7,2273.8,0.9999999893898641
T02,3,3772,9.45,0.1362,0.0388,1611.8,1683.1,0.5476643592943221
T02,4,3239,6.808,0.137,0.0411,1069.0,1098.7,0.14952470914354732
T02,5,3717,7.427,0.1392,0.0446,1216.3,1340.7,0.26776938489336194
T02,6,2736,8.217,0.1334,0.0398,1352.9,1505.4,0.32867435757510793
T02,7,3690,7.069,0.1427,0.043,1187.9,1242.5,0.2492835742860607
T02,8,3006,7.505,0.1332,0.0372,1174.3,1309.6,0.21703301803537745
T02,9,2396,8.145,0.14,0.0404,1422.7,1577.3,0.3866076633255714
T02,10,2779,8.052,0.125,0.0368,1281.0,1381.2,0.21545435230206783
T02,11,3356,8.806,0.1333,0.0386,1496.3,1576.8,0.41825373021920687
T02,12,3812,8.72,0.1227,0.0391,1387.6,1448.4,0.2941850593603174
T04,1,4152,9.956,0.1493,0.0421,1828.5,1873.1,0.7459989142702848
T04,2,3865,11.733,0.1495,0.0386,2155.0,2332.5,0.9999999906914272
T04,3,3805,9.388,0.135,0.0402,1612.8,1664.8,0.5343127276200783
T04,4,3541,6.624,0.1388,0.0407,1028.6,1042.5,0.17691666076944476
T04,5,3722,7.462,0.1345,0.0418,1193.3,1307.8,0.25641759179190327
T04,6,2739,8.168,0.1301,0.0415,1337.0,1459.5,0.31627020615255685
T04,7,3687,7.032,0.1404,0.0415,1155.2,1205.0,0.2494811542993662
T04,8,3335,7.262,0.1289,0.0381,1101.0,1190.2,0.17670297225196327
T04,9,2767,7.895,0.1433,0.0407,1376.1,1555.4,0.3985297441115395
T04,10,2734,8.204,0.1195,0.0361,1274.9,1337.6,0.22421217454996836
T04,11,3549,8.791,0.1335,0.0393,1505.7,1577.1,0.43584458364402495
T04,12,3862,8.746,0.12,0.0379,1386.3,1422.3,0.30570879798753825
T05,1,4113,9.752,0.1546,0.0432,1809.4,1905.4,0.7451673240664611
T05,2,3846,11.306,0.1567,0.043,2132.2,2272.2,0.9999999908318062
T05,3,3740,9.36,0.1437,0.0399,1642.0,1748.6,0.587382776130016
T05,4,3544,6.53,0.1439,0.0434,1028.3,1053.9,0.15959015870196194
T05,5,3669,7.385,0.1431,0.0444,1212.4,1364.7,0.28216661702150536
T05,6,2627,8.309,0.1392,0.0429,1402.1,1586.2,0.3872665028143005
T05,7,3670,6.905,0.1467,0.0449,1156.0,1222.0,0.24176131075793414
T05,8,3264,7.241,0.1379,0.0401,1142.6,1261.2,0.2134220761792519
T05,9,2821,7.76,0.1486,0.0421,1358.0,1558.6,0.3886820305743871
T05,10,2808,8.098,0.1267,0.0401,1297.7,1407.8,0.24253164710992914
T05,11,3471,8.667,0.1378,0.0433,1503.3,1609.8,0.4289881922631137
T05,12,3823,8.668,0.1262,0.0402,1404.1,1479.6,0.324549832427858
T06,1,4101,9.867,0.1452,0.0466,1746.1,1820.1,0.7177673480104576
T06,2,3878,11.288,0.1517,0.0445,2090.2,2231.7,0.9999999895103291
T06,3,3731,9.349,0.1359,0.0393,1581.7,1668.9,0.543234176970173
T06,4,3499,6.497,0.1435,0.0448,1016.6,1036.7,0.19022555675843766
T06,5,3634,7.234,0.1445,0.0453,1191.8,1322.4,0.31209072333410015
T06,6,2702,8.273,0.1354,0.0406,1371.2,1536.8,0.37523887193470284
T06,7,3662,6.78,0.1504,0.0454,1139.4,1211.6,0.3043852292419075
T06,8,3205,7.282,0.1377,0.0387,1144.0,1274.7,0.2490535933819317
T06,9,2831,7.747,0.14,0.0432,1311.7,1467.3,0.34319809979673943
T06,10,2815,8.006,0.1251,0.0402,1268.0,1375.7,0.22835003126104156
T06,11,3504,8.727,0.1329,0.0438,1475.6,1562.7,0.41809474064530283
T06,12,3831,8.612,0.1253,0.039,1375.7,1462.7,0.32212089382489084
