month,V_mean,TI_iec,hrs_above_rated,DEL_est_kNm,V_clipped,TI_clipped,fatigue_risk_score_new
1,7.965,0.0307,102.5,1849.9,7.965,0.0307,0.5601513275533605
2,7.218,0.0315,62.7,1526.7,7.218,0.0315,0.44042310796316836
3,8.614,0.0296,141.0,2115.5,8.614,0.0296,0.6569607366318565
4,5.38,0.0368,42.3,924.7,5.38,0.0368,0.20516051683351755
5,5.857,0.0398,14.7,1062.1,5.857,0.0398,0.34413534034364796
6,6.191,0.0384,30.2,1165.3,6.191,0.0384,0.37910688899258976
7,4.951,0.0442,0.3,931.3,4.951,0.0442,0.25999998219178205
8,9.077,0.0382,124.0,2581.9,9.077,0.0382,0.8931506742623841
9,7.26,0.0356,79.2,1637.5,7.26,0.0356,0.5209695209313077
10,7.279,0.0379,41.3,1700.3,7.279,0.0379,0.5653360809840607
11,8.48,0.0324,73.8,2135.3,8.48,0.0324,0.6827907852147835
12,6.434,0.0316,53.8,1163.8,6.434,0.0316,0.30159316876545217
