V,TI,DEL_kNm,case_tag
4,0.08,331.01703593594755,V04_TI008
4,0.12,438.57655773162685,V04_TI012
4,0.14,554.4086023034457,V04_TI014
4,0.16,559.8360277343131,V04_TI016
4,0.2,867.895267696016,V04_TI020
6,0.08,781.0000925224318,V06_TI008
6,0.12,1119.826541905436,V06_TI012
6,0.14,1194.0655025017065,V06_TI014
6,0.16,1686.7854283504746,V06_TI016
6,0.2,1797.0756001088305,V06_TI020
8,0.08,1590.5464708646464,V08_TI008
8,0.12,2148.1959870099545,V08_TI012
8,0.14,2145.5218371104947,V08_TI014
8,0.16,2574.224964849314,V08_TI016
8,0.2,3461.233307223,V08_TI020
10,0.08,2515.3974938122815,V10_TI008
10,0.12,3829.322704936256,V10_TI012
10,0.14,4928.543139616325,V10_TI014
10,0.16,4786.016019025854,V10_TI016
10,0.2,5184.883003502189,V10_TI020
12,0.08,5658.315889250047,V12_TI008
12,0.12,6024.134391188459,V12_TI012
12,0.14,6415.627968035145,V12_TI014
12,0.16,6499.723641739638,V12_TI016
12,0.2,6268.178879520761,V12_TI020
14,0.08,5120.790459970101,V14_TI008
14,0.12,6711.75633643471,V14_TI012
14,0.14,8063.832314395885,V14_TI014
14,0.16,7990.921197945302,V14_TI016
14,0.2,7452.0299991524535,V14_TI020
16,0.08,6255.486909197047,V16_TI008
16,0.12,6494.162824502885,V16_TI012
16,0.14,7447.912188649183,V16_TI014
16,0.16,8869.77910667638,V16_TI016
16,0.2,9135.394082527215,V16_TI020
18,0.08,6366.284915946286,V18_TI008
18,0.12,6971.154740851169,V18_TI012
18,0.14,7690.584096297983,V18_TI014
18,0.16,8533.541061225502,V18_TI016
18,0.2,8742.114425246342,V18_TI020
