V,TI,case_tag,DEL_mean,DEL_std,DEL_cv,n_seeds
4,0.08,V04_TI008,970.2387758068326,340.66438492162985,0.3511139663927982,6
4,0.12,V04_TI012,1416.5430406807802,473.87413357282105,0.33452858117539486,6
4,0.14,V04_TI014,1558.6020317850723,385.5443711836306,0.24736550018612852,6
4,0.16,V04_TI016,1483.7858581909004,212.28062322130626,0.1430668866733428,6
4,0.2,V04_TI020,1863.6150916997624,513.0950423151345,0.27532243358640746,6
6,0.08,V06_TI008,1749.3978462491452,114.27779308561819,0.06532407326934768,6
6,0.12,V06_TI012,2703.5627927293212,491.35062853827867,0.18174189623398637,6
6,0.14,V06_TI014,3069.8532865343427,338.0078074818479,0.11010552490064955,6
6,0.16,V06_TI016,3413.8147141974528,172.89827958510563,0.05064665017291425,6
6,0.2,V06_TI020,4158.462995800876,561.9799961780641,0.13514127617476435,6
8,0.08,V08_TI008,3424.8719650624007,198.41226313973763,0.05793275344706866,6
8,0.12,V08_TI012,4612.326396891868,307.03942899667027,0.06656931937938661,6
8,0.14,V08_TI014,5506.222143883195,511.4134420366087,0.09287918806631015,6
8,0.16,V08_TI016,6218.053516654162,620.8881977609129,0.09985250144566192,6
8,0.2,V08_TI020,7172.607534094567,1033.2206140385654,0.14405090605155965,6
10,0.08,V10_TI008,4672.667143895628,309.1701468144066,0.06616566883397772,6
10,0.12,V10_TI012,6195.611764786274,372.6456857799923,0.060146713500994715,6
10,0.14,V10_TI014,7155.50221411863,347.03907527756456,0.048499611193301914,6
10,0.16,V10_TI016,7823.720076891431,333.43059944733034,0.04261791017193589,6
10,0.2,V10_TI020,9281.986352184911,313.74775315152004,0.03380178996682818,6
12,0.08,V12_TI008,6175.713931565614,390.1643281260149,0.06317720225540041,6
12,0.12,V12_TI012,7978.69224637239,559.2911401040828,0.0700980966346172,6
12,0.14,V12_TI014,8758.895720296181,291.51299307804163,0.03328193443410286,6
12,0.16,V12_TI016,9804.258257862592,859.3077045739021,0.08764637588822943,6
12,0.2,V12_TI020,11858.595127688852,1132.9923310236202,0.09554186805637505,6
14,0.08,V14_TI008,7289.522303765733,396.57248758335936,0.05440308309071115,6
14,0.12,V14_TI012,9315.674790157022,409.7660418805251,0.04398672679229695,6
14,0.14,V14_TI014,9909.840205338945,456.6917258527408,0.04608467103300992,6
14,0.16,V14_TI016,11146.078952256183,426.8322371616983,0.03829438486754117,6
14,0.2,V14_TI020,12797.9681266029,447.68871960657833,0.034981234144190125,6
16,0.08,V16_TI008,7951.170671079631,142.08870373142352,0.01787016146543492,6
16,0.12,V16_TI012,10239.848434379657,465.0312007239287,0.04541387538145733,6
16,0.14,V16_TI014,11191.624314547638,541.0636277946811,0.04834540658154238,6
16,0.16,V16_TI016,11951.611575650473,522.237554613391,0.043695994578452316,6
16,0.2,V16_TI020,14472.382491488564,343.13875618554107,0.023709901005404353,6
18,0.08,V18_TI008,8692.017227673787,302.3427419304513,0.03478395567001956,6
18,0.12,V18_TI012,11034.015183977963,383.5350020563392,0.03475933245164049,6
18,0.14,V18_TI014,12094.960583243606,587.542932104837,0.048577498707918124,6
18,0.16,V18_TI016,12972.210482581531,793.8719591326344,0.06119789377443482,6
18,0.2,V18_TI020,15108.857701797002,630.9063881457466,0.041757385012019047,6
