V,TI,case_tag,DEL_mean,DEL_std,DEL_cv,n_seeds
4,0.02,V04_TI002,567.3099114696062,176.52937105113315,0.3111691995541502,6
4,0.04,V04_TI004,675.3327773400753,297.71254115370937,0.440838281722836,6
4,0.06,V04_TI006,870.2417228352382,364.0066966402719,0.4182822853566961,6
4,0.08,V04_TI008,970.2387758068326,340.66438492162985,0.3511139663927982,6
4,0.12,V04_TI012,1416.5430406807802,473.87413357282105,0.3345285811753948,6
4,0.14,V04_TI014,1558.6020317850723,385.5443711836306,0.2473655001861285,6
4,0.16,V04_TI016,1483.7858581909004,212.28062322130623,0.1430668866733428,6
4,0.2,V04_TI020,1863.6150916997624,513.0950423151345,0.2753224335864074,6
6,0.02,V06_TI002,779.3707229536622,39.67120268837706,0.0509015819044767,6
6,0.04,V06_TI004,1095.502113739539,109.19232061886632,0.09967330893240735,6
6,0.06,V06_TI006,1447.0505408823956,189.06416886618086,0.130654848275646,6
6,0.08,V06_TI008,1749.3978462491452,114.2777930856182,0.0653240732693476,6
6,0.12,V06_TI012,2703.5627927293212,491.3506285382786,0.1817418962339863,6
6,0.14,V06_TI014,3069.8532865343427,338.0078074818479,0.1101055249006495,6
6,0.16,V06_TI016,3413.8147141974528,172.89827958510563,0.0506466501729142,6
6,0.2,V06_TI020,4158.462995800876,561.9799961780641,0.1351412761747643,6
8,0.02,V08_TI002,1579.9985878655486,67.69645769385562,0.04284589759368589,6
8,0.04,V08_TI004,2115.5836586420533,207.70359540401958,0.09817791631900767,6
8,0.06,V08_TI006,2696.2134695768336,321.37052795919556,0.11919328034869366,6
8,0.08,V08_TI008,3424.8719650624007,198.41226313973763,0.0579327534470686,6
8,0.12,V08_TI012,4612.326396891868,307.03942899667027,0.0665693193793866,6
8,0.14,V08_TI014,5506.222143883195,511.4134420366087,0.0928791880663101,6
8,0.16,V08_TI016,6218.053516654162,620.8881977609129,0.0998525014456619,6
8,0.2,V08_TI020,7172.607534094567,1033.2206140385654,0.1440509060515596,6
10,0.02,V10_TI002,2444.6878363422506,74.10096911207327,0.030311014768635396,6
10,0.04,V10_TI004,3077.2885858157874,167.57493868022823,0.05445538629449152,6
10,0.06,V10_TI006,3780.0142844242914,292.23750246504596,0.07731121643355236,6
10,0.08,V10_TI008,4672.667143895628,309.1701468144066,0.0661656688339777,6
10,0.12,V10_TI012,6195.611764786274,372.6456857799923,0.0601467135009947,6
10,0.14,V10_TI014,7155.50221411863,347.03907527756456,0.0484996111933019,6
10,0.16,V10_TI016,7823.720076891431,333.43059944733034,0.0426179101719358,6
10,0.2,V10_TI020,9281.986352184913,313.74775315152004,0.0338017899668281,6
12,0.02,V12_TI002,3511.3318024395753,122.80304544666332,0.03497335266389328,6
12,0.04,V12_TI004,4350.225046690377,179.61434252725292,0.04128851739840502,6
12,0.06,V12_TI006,5166.816396231437,387.0504833670567,0.07491082587129724,6
12,0.08,V12_TI008,6175.713931565614,390.1643281260149,0.0631772022554004,6
12,0.12,V12_TI012,7978.69224637239,559.2911401040828,0.0700980966346172,6
12,0.14,V12_TI014,8758.895720296181,291.51299307804163,0.0332819344341028,6
12,0.16,V12_TI016,9804.258257862592,859.3077045739021,0.0876463758882294,6
12,0.2,V12_TI020,11858.595127688852,1132.9923310236202,0.095541868056375,6
14,0.02,V14_TI002,4297.001280043002,41.55356592243847,0.0096703638687356,6
14,0.04,V14_TI004,5185.745583854209,145.12135491969082,0.027984665381873993,6
14,0.06,V14_TI006,6260.811943303456,142.32495639976776,0.02273266753396068,6
14,0.08,V14_TI008,7289.522303765733,396.57248758335936,0.0544030830907111,6
14,0.12,V14_TI012,9315.674790157022,409.7660418805251,0.0439867267922969,6
14,0.14,V14_TI014,9909.840205338944,456.6917258527408,0.0460846710330099,6
14,0.16,V14_TI016,11146.078952256184,426.8322371616983,0.0382943848675411,6
14,0.2,V14_TI020,12797.9681266029,447.68871960657833,0.0349812341441901,6
16,0.02,V16_TI002,5165.281160525637,31.020971574723138,0.006005669509685768,6
16,0.04,V16_TI004,5910.062423608376,84.4056753091714,0.01428168930534539,6
16,0.06,V16_TI006,6868.674361664233,142.12026060612752,0.020691075617055858,6
16,0.08,V16_TI008,7951.170671079631,142.08870373142352,0.0178701614654349,6
16,0.12,V16_TI012,10239.848434379655,465.0312007239287,0.0454138753814573,6
16,0.14,V16_TI014,11191.624314547638,541.0636277946811,0.0483454065815423,6
16,0.16,V16_TI016,11951.611575650471,522.237554613391,0.0436959945784523,6
16,0.2,V16_TI020,14472.382491488564,343.13875618554107,0.0237099010054043,6
18,0.02,V18_TI002,6053.273339477905,36.343471238417365,0.006003936911520997,6
18,0.04,V18_TI004,6729.7199466984175,81.17893714978177,0.012062751168361462,6
18,0.06,V18_TI006,7582.692294115332,131.7476799749266,0.0173747891731241,6
18,0.08,V18_TI008,8692.017227673787,302.3427419304513,0.0347839556700195,6
18,0.12,V18_TI012,11034.015183977965,383.5350020563392,0.0347593324516404,6
18,0.14,V18_TI014,12094.960583243606,587.542932104837,0.0485774987079181,6
18,0.16,V18_TI016,12972.210482581531,793.8719591326344,0.0611978937744348,6
18,0.2,V18_TI020,15108.857701797002,630.9063881457466,0.041757385012019,6
