V,TI,DEL_mean_nrel,DEL_mean_mm82,DEL_ratio,deviation_pct
4,0.08,970.2387758068326,214.92621737341483,0.22151889074386474,-19.6324283254289
4,0.12,1416.5430406807802,295.0111343178406,0.2082613276445595,-24.44230322610065
4,0.14,1558.6020317850723,382.7785424307048,0.24559094279654392,-10.899031538359255
4,0.16,1483.7858581909004,390.0554058024821,0.2628785034237053,-4.627064108780729
4,0.2,1863.6150916997624,484.2839260440895,0.2598626337600565,-5.721228676599506
6,0.08,1749.3978462491452,570.3145137816877,0.32600618264421066,18.275805562364074
6,0.12,2703.562792729321,771.4467948669634,0.28534450797355687,3.523654887862879
6,0.14,3069.8532865343427,816.9200361673038,0.26611044890993846,-3.4545067271464704
6,0.16,3413.8147141974528,1017.1693960506868,0.29795682578215477,8.099433287895492
6,0.2,4158.462995800876,1147.802144828486,0.27601595733508055,0.13923489758547733
8,0.08,3424.8719650624007,1015.8853094142268,0.2966199378480175,7.614407218530244
8,0.12,4612.326396891868,1311.1534932468248,0.2842716192267699,3.134408341138602
8,0.14,5506.222143883195,1561.9687634611,0.28367340122597035,2.917373451270595
8,0.16,6218.053516654162,1763.2883218883633,0.28357561046485835,2.881894734415398
8,0.2,7172.607534094567,2030.0997180278628,0.28303510381376695,2.6857976572031528
10,0.08,4672.667143895628,1200.5856302723394,0.2569379742447061,-6.7823019892833445
10,0.12,6195.611764786274,1608.4550742306856,0.25961198591761203,-5.812164300081056
10,0.14,7155.50221411863,1779.9357714912271,0.24875064226508223,-9.752685180921612
10,0.16,7823.720076891431,1990.1301937664848,0.25437134434866127,-7.713481318684141
10,0.2,9281.986352184913,2358.614692951926,0.25410667538815385,-7.8095038365930485
12,0.08,6175.713931565614,1561.8387263079328,0.252900108977682,-8.247248952362195
12,0.12,7978.69224637239,2002.1438012795215,0.25093633636387225,-8.95971024973932
12,0.14,8758.895720296181,2351.623310030796,0.2684839944585247,-2.593378850610509
12,0.16,9804.258257862592,2457.637442481237,0.25067041053414907,-9.056188762739408
12,0.2,11858.595127688852,3013.731951461048,0.25413903746694494,-7.797762798715659
14,0.08,7289.522303765733,1937.5823589858144,0.2658037493053377,-3.5657780610383334
14,0.12,9315.674790157022,2343.7014853694805,0.2515868724663773,-8.723694230205247
14,0.14,9909.840205338944,2537.976650969108,0.25610671800759904,-7.083883696339116
14,0.16,11146.078952256184,2829.968929538012,0.25389815931325077,-7.885153956268169
14,0.2,12797.9681266029,3348.5435491468256,0.2616464985708372,-5.074038350949444
16,0.08,7951.170671079631,2089.120647849334,0.2627437812960023,-4.675941611814275
16,0.12,10239.848434379655,2604.344269126098,0.25433425951717936,-7.72693578228385
16,0.14,11191.624314547638,2903.818924190032,0.2594635812082657,-5.8660058757371365
16,0.16,11951.611575650471,3178.100875411779,0.26591400291879125,-3.525777792204125
16,0.2,14472.382491488564,3710.62865269536,0.2563937661872632,-6.97974194537718
18,0.08,8692.017227673787,2214.5858946519006,0.254783882342187,-7.563811569743856
18,0.12,11034.015183977965,2821.52103478274,0.2557111792704213,-7.2273860753166135
18,0.14,12094.960583243606,3089.86566187201,0.25546719566434295,-7.315903898257481
18,0.16,12972.210482581531,3439.3423717495084,0.26513155767613344,-3.8096507563091957
18,0.2,15108.857701797002,4046.091127222824,0.2677959649286785,-2.8429975732776978
