V,TI,case_tag,DEL_standard,DEL_simple,err_pct
4,0.08,V04_TI008,884.700347693584,331.01703593594755,62.58427649554905
4,0.12,V04_TI012,1802.2927303046,438.57655773162685,75.66563131742176
4,0.14,V04_TI014,1512.3507093183848,554.4086023034457,63.341267413210176
4,0.16,V04_TI016,1296.0053837020248,559.8360277343131,56.80295508224296
4,0.2,V04_TI020,2220.5781097587196,867.895267696016,60.9157964819207
6,0.08,V06_TI008,1889.666218722537,781.0000925224318,58.66994473498035
6,0.12,V06_TI012,2579.013311842694,1119.826541905436,56.579264761323586
6,0.14,V06_TI014,2380.8692712721004,1194.0655025017065,49.84749826840697
6,0.16,V06_TI016,3855.5922183908147,1686.7854283504746,56.250938045142185
6,0.2,V06_TI020,4103.350824956243,1797.0756001088305,56.20468059471874
8,0.08,V08_TI008,3591.0674278512774,1590.5464708646464,55.70825380418009
8,0.12,V08_TI012,4092.3703996056993,2148.1959870099545,47.50729339609793
8,0.14,V08_TI014,5451.173925049487,2145.5218371104947,60.64110471230254
8,0.16,V08_TI016,6131.311750710271,2574.224964849314,58.015102322091074
8,0.2,V08_TI020,7758.485258627349,3461.233307223,55.3877697534561
10,0.08,V10_TI008,4339.325904876253,2515.3974938122815,42.03252880854971
10,0.12,V10_TI012,6153.410841490533,3829.322704936256,37.76910393961792
10,0.14,V10_TI014,6897.692369092425,4928.543139616325,28.54794218280271
10,0.16,V10_TI016,7221.039706579048,4786.016019025854,33.72123387349134
10,0.2,V10_TI020,9328.262242592637,5184.883003502189,44.41748239207803
12,0.08,V12_TI008,6475.366200168893,5658.315889250047,12.617824006579506
12,0.12,V12_TI012,8033.125637484501,6024.134391188459,25.008836372751404
12,0.14,V12_TI014,8927.06392182118,6415.627968035145,28.132832651137612
12,0.16,V12_TI016,9802.842413580067,6499.723641739638,33.69552046725299
12,0.2,V12_TI020,10038.963359287534,6268.178879520761,37.56149260449523
14,0.08,V14_TI008,6968.24700598526,5120.790459970101,26.51250084028762
14,0.12,V14_TI012,9066.577464209648,6711.75633643471,25.972547381529626
14,0.14,V14_TI014,10815.404824488125,8063.832314395885,25.441234560745784
14,0.16,V14_TI016,11425.756975417618,7990.921197945302,30.062216314090396
14,0.2,V14_TI020,12232.60788155909,7452.0299991524535,39.08061084516129
16,0.08,V16_TI008,8330.56837846223,6255.486909197047,24.909242382909657
16,0.12,V16_TI012,9794.51360078257,6494.162824502885,33.695912944732555
16,0.14,V16_TI014,10903.808727583233,7447.912188649183,31.69439803352117
16,0.16,V16_TI016,12267.947952815264,8869.77910667638,27.699570125410155
16,0.2,V16_TI020,14217.647698326458,9135.394082527215,35.74609333158163
18,0.08,V18_TI008,8605.676154734729,6366.284915946286,26.02225785078328
18,0.12,V18_TI012,10508.35168871615,6971.154740851169,33.66081620263259
18,0.14,V18_TI014,11907.239871934931,7690.584096297983,35.41253742250966
18,0.16,V18_TI016,13733.871586612759,8533.541061225502,37.8650003576292
18,0.2,V18_TI020,16721.757659757015,8742.114425246342,47.72012247082539
