month,del_proxy,hrs_above_rated,mean_ti,mean_wind_ms,n_records,del_proxy_norm,hrs_above_rated_norm,mean_ti_norm
1,1.0202078588496961,102.5,0.03457694775675906,7.970852433058958,2874,0.9756068387571878,0.7263033175303819,0.13379724931596138
2,0.9267765711260991,62.666666666666664,0.035118684415911414,7.218319437998013,3149,0.804857205032492,0.4431279620821579,0.17153722278920022
3,1.0335553796970338,141.0,0.032656361487677546,8.613780334550952,3644,0.9999999981724578,0.999999999992891,0.0
4,0.7719676658555656,42.33333333333333,0.04139497639270459,5.381524809190871,4001,0.5219373768217903,0.2985781990500101,0.6087738186752885
5,0.6492158909516741,14.666666666666666,0.042608912678379185,5.859457313313754,4381,0.2976033114934563,0.10189573459643203,0.6933424415394781
6,0.7162499266437035,30.166666666666664,0.04043284759414882,6.19388690793516,4147,0.42011084960385514,0.21208530805536435,0.5417473128594391
7,0.4863724340311639,0.3333333333333333,0.04701081305602642,4.950814984246596,4435,0.0,0.0,0.9999999303352047
8,0.8223659645705825,124.0,0.03307327114067513,9.077135903384672,4180,0.6140424013334405,0.8791469194250299,0.029043925639968996
9,0.7947226825950874,79.16666666666666,0.0372600521333032,7.261926760901431,3805,0.5635231332459882,0.5604265402803762,0.32071516651053955
10,0.7366249982443993,41.33333333333333,0.037272433538148096,7.2787506138302485,3946,0.45734715553196664,0.29146919431072416,0.32157771454474327
11,0.9250596555829413,73.83333333333333,0.034956894593577204,8.480371032122392,3300,0.8017194691918205,0.5225118483375177,0.16026616793260806
12,0.9006204139676284,53.83333333333333,0.03613972605866555,6.4380842321488805,3305,0.7570557205055215,0.3803317535517986,0.24266787983741817
