turbine,month,n_records,DEL_pointinterp_B,DEL_published,DEL_perrecord_A,bias_pct_B_vs_A
T01,1,4184,1904.5,1904.5,1849.2,2.99
T01,2,3916,2355.5,2355.5,2155.8,9.27
T01,3,3834,1675.7,1675.7,1632.4,2.66
T01,4,3617,1056.1,1056.1,1040.8,1.47
T01,5,3795,1317.5,1317.5,1201.4,9.66
T01,6,2795,1450.0,1450.0,1335.3,8.59
T01,7,3730,1234.5,1234.5,1175.8,5.0
T01,8,3269,1240.0,1240.0,1128.9,9.84
T01,9,2957,1496.0,1496.0,1347.7,11.0
T01,10,2752,1329.5,1329.5,1286.0,3.38
T01,11,3557,1555.7,1555.7,1522.5,2.18
T01,12,3690,1421.1,1421.1,1386.5,2.5
T02,1,4126,1873.0,1873.0,1820.4,2.89
T02,2,3613,2273.8,2273.8,2146.7,5.92
T02,3,3772,1683.1,1683.1,1611.8,4.42
T02,4,3239,1098.7,1098.7,1069.0,2.78
T02,5,3717,1340.7,1340.7,1216.3,10.23
T02,6,2736,1505.4,1505.4,1352.9,11.28
T02,7,3690,1242.5,1242.5,1187.9,4.6
T02,8,3006,1309.6,1309.6,1174.3,11.52
T02,9,2396,1577.3,1577.3,1422.7,10.87
T02,10,2779,1381.2,1381.2,1281.0,7.82
T02,11,3356,1576.8,1576.8,1496.3,5.38
T02,12,3812,1448.4,1448.4,1387.6,4.38
T04,1,4152,1873.1,1873.1,1828.5,2.44
T04,2,3865,2332.5,2332.5,2155.0,8.24
T04,3,3805,1664.8,1664.8,1612.8,3.23
T04,4,3541,1042.5,1042.5,1028.6,1.35
T04,5,3722,1307.8,1307.8,1193.3,9.6
T04,6,2739,1459.5,1459.5,1337.0,9.17
T04,7,3687,1205.0,1205.0,1155.2,4.31
T04,8,3335,1190.2,1190.2,1101.0,8.1
T04,9,2767,1555.4,1555.4,1376.1,13.04
T04,10,2734,1337.6,1337.6,1274.9,4.92
T04,11,3549,1577.1,1577.1,1505.7,4.74
T04,12,3862,1422.3,1422.3,1386.3,2.6
T05,1,4113,1905.4,1905.4,1809.4,5.31
T05,2,3846,2272.2,2272.2,2132.2,6.57
T05,3,3740,1748.6,1748.6,1642.0,6.5
T05,4,3544,1053.9,1053.9,1028.3,2.49
T05,5,3669,1364.7,1364.7,1212.4,12.56
T05,6,2627,1586.2,1586.2,1402.1,13.13
T05,7,3670,1222.0,1222.0,1156.0,5.71
T05,8,3264,1261.2,1261.2,1142.6,10.38
T05,9,2821,1558.6,1558.6,1358.0,14.78
T05,10,2808,1407.8,1407.8,1297.7,8.49
T05,11,3471,1609.8,1609.8,1503.3,7.08
T05,12,3823,1479.6,1479.6,1404.1,5.38
T06,1,4101,1820.1,1820.1,1746.1,4.23
T06,2,3878,2231.7,2231.7,2090.2,6.77
T06,3,3731,1668.9,1668.9,1581.7,5.51
T06,4,3499,1036.7,1036.7,1016.6,1.98
T06,5,3634,1322.4,1322.4,1191.8,10.96
T06,6,2702,1536.8,1536.8,1371.2,12.07
T06,7,3662,1211.6,1211.6,1139.4,6.34
T06,8,3205,1274.7,1274.7,1144.0,11.42
T06,9,2831,1467.3,1467.3,1311.7,11.86
T06,10,2815,1375.7,1375.7,1268.0,8.49
T06,11,3504,1562.7,1562.7,1475.6,5.9
T06,12,3831,1462.7,1462.7,1375.7,6.33
